,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_pruned,user_attrs_training_time,state
81,81,0.24533062881754186,2025-01-29 08:57:06.825618,2025-01-29 09:10:20.625544,0 days 00:13:13.799926,0.5520672917339424,1.6860718230345165e-08,0.03289080389527628,10,9.773023686144265,3.5270562232316937e-07,1.073992030495158e-08,0.9616698225454492,,792.543518781662,COMPLETE
82,82,0.24733379242184864,2025-01-29 09:10:20.626036,2025-01-29 09:15:55.888149,0 days 00:05:35.262113,0.6418162485869942,8.609085959736445e-08,0.055862138616977315,7,8.217561658575459,1.933785208906467e-06,4.633864647444464e-08,0.9720746266420704,,334.442506313324,COMPLETE
83,83,0.24565037936104372,2025-01-29 09:15:55.888823,2025-01-29 09:31:13.964924,0 days 00:15:18.076101,0.5288027949406113,7.643507384218041e-07,0.025198571534056646,10,1.0167416356303547,2.6542181509306676e-08,1.4252415917428875e-08,0.9551209934866788,,916.34033203125,COMPLETE
84,84,0.245286113115928,2025-01-29 09:31:13.965391,2025-01-29 09:46:31.728004,0 days 00:15:17.762613,0.5392612296063303,1.9618837227872194e-07,0.01536327858561602,10,9.003473888253977,2.7989874784127637e-07,2.1506106116861494e-08,0.9780416951409464,,916.4656224250793,COMPLETE
85,85,0.2508333920459115,2025-01-29 09:46:31.728525,2025-01-29 09:51:32.566228,0 days 00:05:00.837703,0.519474538054254,2.4795038692529823e-07,0.08250036867453646,10,1.6043969054802882,2.2626667735867888e-08,1.953094355431571e-08,0.8734637925069781,,300.4148750305176,COMPLETE
86,86,0.2487083260771394,2025-01-29 09:51:32.566919,2025-01-29 10:11:42.298848,0 days 00:20:09.731929,0.564423751333194,2.553029084776169e-08,0.005374927396187196,10,9.109255291864294,1.861137365804157e-05,2.0573022017760368e-07,0.9793607956784592,,1207.8205842971802,COMPLETE
87,87,0.24655019329420355,2025-01-29 10:11:42.299393,2025-01-29 10:31:36.817317,0 days 00:19:54.517924,0.6863430726994552,6.041916752662783e-07,0.010865297341372284,10,0.8468815544088294,9.817086141211115e-08,1.632642782385497e-08,0.9755902750307218,,1192.528447151184,COMPLETE
88,88,0.24528223513250977,2025-01-29 10:31:36.819058,2025-01-29 10:45:40.015891,0 days 00:14:03.196833,0.5921845012669877,5.044646373144573e-08,0.028750349446654073,10,6.03934968882925,2.73257917876441e-06,8.174019225474101e-08,0.996661635896344,,841.6297934055328,COMPLETE
89,89,0.26229514895912814,2025-01-29 10:45:40.016455,2025-01-29 10:56:32.690823,0 days 00:10:52.674368,0.5511750763396424,4.4644489907831143e-07,0.0035654590145459755,8,0.03933761626713856,1.6044058419926773e-06,1.0562757693523168e-07,0.8992341709912393,,651.5627303123474,COMPLETE
90,90,0.24723674758394099,2025-01-29 10:56:32.691543,2025-01-29 11:05:29.585105,0 days 00:08:56.893562,0.5961816938927761,3.1788295293006393e-07,0.054163221608622386,10,3.9250624947520354,1.4977258045510646e-05,1.7248261883227995e-07,0.9867049782021469,,535.9138207435608,COMPLETE
91,91,0.24826298640835662,2025-01-29 11:05:29.585717,2025-01-29 11:14:50.699523,0 days 00:09:21.113806,0.506326006594693,5.691903995766799e-07,0.011676648313134029,8,2.5490515911270486,4.4820510528047715e-08,1.2886402187294644e-08,0.9793061137014494,,560.0248627662659,COMPLETE
92,92,0.24541537242982303,2025-01-29 11:14:50.700315,2025-01-29 11:31:10.583305,0 days 00:16:19.882990,0.6135622390810168,1.306848702639164e-08,0.014676283111816462,10,5.730139764165059,3.9450943232370604e-08,7.148967306614931e-08,0.9470781199844254,,978.2126271724701,COMPLETE
93,93,0.24681090907206424,2025-01-29 11:31:10.583823,2025-01-29 11:50:10.913145,0 days 00:19:00.329322,0.5183711486436906,1.0019942558385762e-08,0.009334457637772992,10,0.400377154831941,3.591161158433527e-08,4.247640694543823e-05,0.927800656299749,,1138.295899629593,COMPLETE
